SKU Parent,SKU119 LATAM,SKU121 LATAM,SKU115 LATAM,SKU110 APAC,SKU116 LATAM,SKU123 LATAM,SKU124 LATAM,SKU103 LATAM,SKU114 LATAM,SKU101 LATAM,SKU105 EMEA,SKU111 LATAM,SKU108 LATAM,SKU107 LATAM,SKU112 APAC,SKU110 LATAM,SKU114 NA,SKU106 APAC,SKU112 LATAM,SKU117 LATAM,SKU107 APAC,SKU107 EMEA,SKU114 APAC,SKU115 APAC,SKU106 LATAM,SKU113 APAC,SKU118 LATAM,SKU116 NA,SKU105 APAC,SKU101 EMEA,SKU111 APAC,SKU102 APAC,SKU109 LATAM,SKU118 APAC,SKU117 APAC,SKU102 EMEA,SKU110 NA,SKU120 APAC,SKU109 EMEA,SKU110 EMEA,SKU108 EMEA,SKU111 NA,SKU119 EMEA,SKU122 APAC,SKU118 NA,SKU108 APAC,SKU106 EMEA,SKU100 NA,SKU116 EMEA,SKU117 NA,SKU113 EMEA,SKU112 EMEA,SKU109 NA,SKU115 EMEA,SKU115 NA,SKU104 APAC,SKU106 NA,SKU103 NA,SKU109 APAC,SKU102 NA,SKU105 NA,SKU117 EMEA,SKU103 EMEA,SKU119 APAC,SKU107 NA,SKU112 NA,SKU118 EMEA,SKU104 EMEA,SKU101 NA,SKU114 EMEA,SKU113 NA,SKU123 NA
213893,140,400,504,350,640,756,636,800,872,436,560,1070,874,1100,1000,1180,700,1260,1300,1780,1600,1600,1890,1590,1380,2000,1100,2000,2180,2016,1090,2675,2143,2185,2750,2560,2520,2950,3024,2544,3200,3200,3488,3250,3780,4450,1744,3180,4280,4000,3496,4400,4360,4720,2180,3450,5350,4370,2750,5500,5900,5200,7120,5359,6500,8900,5520,4400,6900,8574,5500,10717
180873,180,310,400,450,484,552,576,590,624,708,720,732,742,772,775,810,900,1000,1040,1130,1210,1240,1380,1440,1460,1475,1510,1550,1560,1600,1770,1830,1850,1855,1930,1936,2000,2025,2208,2304,2360,2420,2496,2600,2760,2825,2832,2880,2928,2950,2968,3088,3120,3240,3540,3650,3660,3710,3775,3860,4050,4160,4520,4625,5200,5650,5840,6040,7300,7399,7550,9249
215435,310,890,398,775,680,1104,724,1040,824,652,1240,606,644,976,2225,940,1550,995,1032,1580,1700,3560,2760,1810,1620,2600,1340,4450,2060,1592,1630,1515,1875,1610,2440,2720,1990,2350,4416,2896,4160,3400,3296,2580,5520,3950,2608,3620,2424,5200,2576,3904,4120,3760,3260,4050,3030,3220,3350,4880,4700,4128,6320,4687,5160,7900,6480,5360,8100,7499,6700,9374
204915,270,610,406,675,596,552,664,820,800,692,1080,994,774,884,1525,1010,1350,1015,1024,1370,1490,2440,1380,1660,1400,2050,1570,3050,2000,1624,1730,2485,1957,1935,2210,2384,2030,2525,2208,2656,3280,2980,3200,2560,2760,3425,2768,3320,3976,4100,3096,3536,4000,4040,3460,3500,4970,3870,3925,4420,5050,4096,5480,4893,5120,6850,5600,6280,7000,7829,7850,9786
211970,350,610,532,875,552,828,764,1110,1072,600,1400,930,540,980,1525,960,1750,1330,1060,1460,1380,2440,2070,1910,960,2775,1500,3050,2680,2128,1500,2325,2150,1350,2450,2208,2660,2400,3312,3056,4440,2760,4288,2650,4140,3650,2400,3820,3720,5550,2160,3920,5360,3840,3000,2400,4650,2700,3750,4900,4800,4240,5840,5374,5300,7300,3840,6000,4800,8598,7500,10748
217155,430,450,358,1075,728,636,896,1030,1048,428,1720,1010,1344,846,1125,610,2150,895,964,1430,1820,1800,1590,2240,1580,2575,1200,2250,2620,1432,1070,2525,2384,3360,2115,2912,1790,1525,2544,3584,4120,3640,4192,2410,3180,3575,1712,4480,4040,5150,5376,3384,5240,2440,2140,3950,5050,6720,3000,4230,3050,3856,5720,5961,4820,7150,6320,4800,7900,9538,6000,11922
228600,310,440,504,775,936,684,824,1100,848,420,1240,1732,642,794,1100,1040,1550,1260,1160,1750,2340,1760,1710,2060,2020,2750,1080,2200,2120,2016,1050,4330,2004,1605,1985,3744,2520,2600,2736,3296,4400,4680,3392,2900,3420,4375,1680,4120,6928,5500,2568,3176,4240,4160,2100,5050,8660,3210,2700,3970,5200,4640,7000,5010,5800,8750,8080,4320,10100,8016,5400,10020
242763,530,490,512,1325,816,660,1104,1450,1092,644,2120,930,1734,938,1225,1000,2650,1280,1036,1350,2040,1960,1650,2760,1640,3625,1550,2450,2730,2048,1610,2325,1945,4335,2345,3264,2560,2500,2640,4416,5800,4080,4368,2590,3300,3375,2576,5520,3720,7250,6936,3752,5460,4000,3220,4100,4650,8670,3875,4690,5000,4144,5400,4863,5180,6750,6560,6200,8200,7780,7750,9725
197465,430,980,440,1075,964,636,920,770,932,772,1720,354,1662,838,2450,760,2150,1100,828,1240,2410,3920,1590,2300,400,1925,1270,4900,2330,1760,1930,885,1601,4155,2095,3856,2200,1900,2544,3680,3080,4820,3728,2070,3180,3100,3088,4600,1416,3850,6648,3352,4660,3040,3860,1000,1770,8310,3175,4190,3800,3312,4960,4003,4140,6200,1600,5080,2000,6405,6350,8006
265048,580,1060,534,1450,824,1044,1192,1160,1032,692,2320,768,1390,992,2650,830,2900,1335,984,1760,2060,4240,2610,2980,2440,2900,1800,5300,2580,2136,1730,1920,2122,3475,2480,3296,2670,2075,4176,4768,4640,4120,4128,2460,5220,4400,2768,5960,3072,5800,5560,3968,5160,3320,3460,6100,3840,6950,4500,4960,4150,3936,7040,5305,4920,8800,9760,7200,12200,8487,9000,10609
206110,630,120,580,1575,836,804,844,810,1100,796,2520,696,1138,1118,300,990,3150,1450,1136,1570,2090,480,2010,2110,500,2025,1120,600,2750,2320,1990,1740,1701,2845,2795,3344,2900,2475,3216,3376,3240,4180,4400,2840,4020,3925,3184,4220,2784,4050,4552,4472,5500,3960,3980,1250,3480,5690,2800,5590,4950,4544,6280,4252,5680,7850,2000,4480,2500,6803,5600,8504
219040,210,2410,456,525,616,636,668,1170,764,356,840,650,1090,1000,6025,800,1050,1140,1140,1330,1540,9640,1590,1670,1000,2925,980,12050,1910,1824,890,1625,2247,2725,2500,2464,2280,2000,2544,2672,4680,3080,3056,2850,3180,3325,1424,3340,2600,5850,4360,4000,3820,3200,1780,2500,3250,5450,2450,5000,4000,4560,5320,5618,5700,6650,4000,3920,5000,8989,4900,11236
233368,530,810,598,1325,852,888,1236,1080,1076,996,2120,746,1000,1206,2025,0,2650,1495,1360,1680,2130,3240,2220,3090,940,2700,1460,4050,2690,2392,2490,1865,2211,2500,3015,3408,2990,0,3552,4944,4320,4260,4304,3400,4440,4200,3984,6180,2984,5400,4000,4824,5380,0,4980,2350,3730,5000,3650,6030,0,5440,6720,5529,6800,8400,3760,5840,4700,8846,7300,11057
197783,400,380,512,1000,704,936,772,1040,984,624,1600,470,718,938,950,760,2000,1280,900,1160,1760,1520,2340,1930,1160,2600,1380,1900,2460,2048,1560,1175,1985,1795,2345,2816,2560,1900,3744,3088,4160,3520,3936,2250,4680,2900,2496,3860,1880,5200,2872,3752,4920,3040,3120,2900,2350,3590,3450,4690,3800,3600,4640,4962,4500,5800,4640,5520,5800,7938,6900,9923
174955,490,640,418,1225,560,826,688,770,884,568,1960,390,736,818,1600,740,2450,1045,856,1140,1400,2560,2065,1720,780,1925,1060,3200,2210,1672,1420,975,1632,1840,2045,2240,2090,1850,3304,2752,3080,2800,3536,2140,4130,2850,2272,3440,1560,3850,2944,3272,4420,2960,2840,1950,1950,3680,2650,4090,3700,3424,4560,4081,4280,5700,3120,4240,3900,6530,5300,8162
228375,510,1480,418,1275,600,744,1272,970,1140,864,2040,512,558,1014,3700,590,2550,1045,1100,1560,1500,5920,1860,3180,1680,2425,940,7400,2850,1672,2160,1280,2318,1395,2535,2400,2090,1475,2976,5088,3880,3000,4560,2750,3720,3900,3456,6360,2048,4850,2232,4056,5700,2360,4320,4200,2560,2790,2350,5070,2950,4400,6240,5795,5500,7800,6720,3760,8400,9272,4700,11590
244815,360,2130,514,900,856,804,1160,1250,1200,640,1440,444,656,1010,5325,860,1800,1285,1124,1660,2140,8520,2010,2900,1840,3125,1260,10650,3000,2056,1600,1110,1817,1640,2525,3424,2570,2150,3216,4640,5000,4280,4800,2810,4020,4150,2560,5800,1776,6250,2624,4040,6000,3440,3200,4600,2220,3280,3150,5050,4300,4496,6640,4543,5620,8300,7360,5040,9200,7269,6300,9086
230725,520,1970,378,1300,872,996,968,1050,1432,664,2080,540,750,904,4925,690,2600,945,900,1320,2180,7880,2490,2420,1400,2625,1190,9850,3580,1512,1660,1350,1914,1875,2260,3488,1890,1725,3984,3872,4200,4360,5728,2250,4980,3300,2656,4840,2160,5250,3000,3616,7160,2760,3320,3500,2700,3750,2975,4520,3450,3600,5280,4785,4500,6600,5600,4760,7000,7656,5950,9570
220880,550,800,528,1375,1092,1104,1212,670,1340,332,2200,566,670,1014,2000,820,2750,1320,1052,1350,2730,3200,2760,3030,2020,1675,780,4000,3350,2112,830,1415,1770,1675,2535,4368,2640,2050,4416,4848,2680,5460,5360,2630,5520,3375,1328,6060,2264,3350,2680,4056,6700,3280,1660,5050,2830,3350,1950,5070,4100,4208,5400,4426,5260,6750,8080,3120,10100,7082,3900,8852
